v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
   755.000000                       0.001267          0.000274
   756.000000                       0.001291          0.000279
   757.000000                       0.001318          0.000285
   758.000000                       0.001349          0.000292
   759.000000                       0.001384          0.000299
   760.000000                       0.001424          0.000308
   761.000000                       0.001468          0.000318
   762.000000                       0.001519          0.000329
   763.000000                       0.001575          0.000341
   764.000000                       0.001639          0.000355
   765.000000                       0.001712          0.000370
   766.000000                       0.001793          0.000388
   767.000000                       0.001886          0.000408
   768.000000                       0.001992          0.000431
   769.000000                       0.002112          0.000457
   770.000000                       0.002251          0.000487
   771.000000                       0.002410          0.000521
   772.000000                       0.002595          0.000561
   773.000000                       0.002810          0.000608
   774.000000                       0.003062          0.000662
   775.000000                       0.003360          0.000727
   776.000000                       0.003716          0.000804
   777.000000                       0.004144          0.000897
   778.000000                       0.004667          0.001010
   779.000000                       0.005311          0.001149
   780.000000                       0.006118          0.001324
   781.000000                       0.007147          0.001546
   782.000000                       0.008485          0.001836
   783.000000                       0.010267          0.002221
   784.000000                       0.012709          0.002749
   785.000000                       0.016173          0.003499
   786.000000                       0.021299          0.004608
   787.000000                       0.029294          0.006338
   788.000000                       0.042599          0.009216
   789.000000                       0.066521          0.014391
   790.000000                       0.112802          0.024404
   791.000000                       0.199582          0.043178
   792.000000                       0.286294          0.061938
   793.000000                       0.231379          0.050057
   794.000000                       0.133462          0.028874
   795.000000                       0.076998          0.016658
   796.000000                       0.048136          0.010414
   797.000000                       0.032455          0.007021
   798.000000                       0.023231          0.005026
   799.000000                       0.017418          0.003768
   800.000000                       0.013543          0.002930
   801.000000                       0.010840          0.002345
   802.000000                       0.008884          0.001922
   803.000000                       0.007426          0.001606
   804.000000                       0.006310          0.001365
   805.000000                       0.005437          0.001176
   806.000000                       0.004742          0.001026
   807.000000                       0.004180          0.000904
   808.000000                       0.003719          0.000804
   809.000000                       0.003335          0.000722
   810.000000                       0.003014          0.000652
   811.000000                       0.002741          0.000593
   812.000000                       0.002508          0.000543
   813.000000                       0.002307          0.000499
   814.000000                       0.002132          0.000461
   815.000000                       0.001979          0.000428
   816.000000                       0.001845          0.000399
   817.000000                       0.001726          0.000374
   818.000000                       0.001621          0.000351
   819.000000                       0.001527          0.000330
   820.000000                       0.001443          0.000312
   821.000000                       0.001367          0.000296
   822.000000                       0.001298          0.000281
   823.000000                       0.001236          0.000267
   824.000000                       0.001179          0.000255
   825.000000                       0.001127          0.000244
   826.000000                       0.001080          0.000234
   827.000000                       0.001037          0.000224
   828.000000                       0.000997          0.000216
   829.000000                       0.000960          0.000208
   830.000000                       0.000926          0.000200
   831.000000                       0.000894          0.000193
   832.000000                       0.000865          0.000187
   833.000000                       0.000837          0.000181
   834.000000                       0.000812          0.000176
   835.000000                       0.000788          0.000171
   836.000000                       0.000766          0.000166
   837.000000                       0.000745          0.000161
   838.000000                       0.000726          0.000157
   839.000000                       0.000707          0.000153
   840.000000                       0.000690          0.000149
   841.000000                       0.000674          0.000146
   842.000000                       0.000658          0.000142
